feature,importance_mean,importance_std
num__Rotational speed [rpm],0.34102549489812445,0.027383562829604323
num__temp_diff,0.3378308623398768,0.025514188266204912
num__wear_torque_interaction,0.24638622685404096,0.01868803661379021
num__power_proxy,0.22115947987854803,0.018165805888766352
num__Torque [Nm],0.065955479483794,0.018486502607786
num__temp_wear_interaction,0.06126522545692714,0.012417048897873808
cat__Type_L,0.04934985624290099,0.015844738607969446
num__Tool wear [min],0.019641979298724178,0.011227180913213506
cat__Type_H,0.008143194335169145,0.002714398111723049
cat__Type_M,0.0018095987411486992,0.0036191974822973984
