model_name,feature_set,feature_count,selected_features,accuracy,precision,recall,f1,roc_auc,pr_auc
gradient_boosting,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.993,0.9821428571428571,0.8088235294117647,0.8870967741935484,0.9685216477895506,0.9058862427611453
random_forest,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.9925,0.9344262295081968,0.8382352941176471,0.8837209302325582,0.9665197600779443,0.8793333370434425
gradient_boosting,B_engineered,11,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction;Type,0.9925,0.9818181818181818,0.7941176470588235,0.8780487804878049,0.9725216173425892,0.9040673358339025
gradient_boosting,E_rf_importance_top8,8,Rotational speed [rpm];power_proxy;Torque [Nm];temp_diff;temp_wear_interaction;wear_torque_interaction;Tool wear [min];wear_speed_interaction,0.9915,0.9473684210526315,0.7941176470588235,0.864,0.9633418584825234,0.8992075922123312
random_forest,B_engineered,11,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction;Type,0.991,0.9166666666666666,0.8088235294117647,0.859375,0.9696786323224943,0.8639734175975566
random_forest,E_rf_importance_top8,8,Rotational speed [rpm];power_proxy;Torque [Nm];temp_diff;temp_wear_interaction;wear_torque_interaction;Tool wear [min];wear_speed_interaction,0.9905,0.8769230769230769,0.8382352941176471,0.8571428571428571,0.9776252892461332,0.8365264229512154
decision_tree,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.9875,0.8208955223880597,0.8088235294117647,0.8148148148148148,0.9013061746437706,0.6704596136962248
mlp,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.9885,0.9591836734693877,0.6911764705882353,0.8034188034188035,0.9881256850566313,0.8827009149235364
decision_tree,E_rf_importance_top8,8,Rotational speed [rpm];power_proxy;Torque [Nm];temp_diff;temp_wear_interaction;wear_torque_interaction;Tool wear [min];wear_speed_interaction,0.9865,0.8059701492537313,0.7941176470588235,0.8,0.8936944342954573,0.6470351185250219
mlp,E_rf_importance_top8,8,Rotational speed [rpm];power_proxy;Torque [Nm];temp_diff;temp_wear_interaction;wear_torque_interaction;Tool wear [min];wear_speed_interaction,0.9845,0.7761194029850746,0.7647058823529411,0.7703703703703704,0.9864358786993058,0.8607974353786363
gradient_boosting,C_selectkbest_top8,8,Air temperature [K];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction,0.986,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9591706247716477,0.8094009297549674
mlp,C_selectkbest_top8,8,Air temperature [K];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction,0.986,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9804454390451833,0.820940414193443
decision_tree,B_engineered,11,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction;Type,0.984,0.78125,0.7352941176470589,0.7575757575757576,0.8640238704177323,0.5834485294117647
random_forest,C_selectkbest_top8,8,Air temperature [K];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction,0.984,0.78125,0.7352941176470589,0.7575757575757576,0.9573818657897942,0.7813117141925803
gradient_boosting,A_baseline,6,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Type,0.9855,0.8823529411764706,0.6617647058823529,0.7563025210084033,0.969575873827792,0.7994384968485608
mlp,B_engineered,11,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction;Type,0.983,0.75,0.75,0.75,0.9782913165266107,0.7933437492508455
mlp,A_baseline,6,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Type,0.981,0.734375,0.6911764705882353,0.7121212121212122,0.9789002557544757,0.7810644182356241
random_forest,A_baseline,6,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Type,0.979,0.7096774193548387,0.6470588235294118,0.676923076923077,0.9596159115820242,0.7610764465106261
decision_tree,A_baseline,6,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Type,0.9795,0.7454545454545455,0.6029411764705882,0.6666666666666666,0.797847399829497,0.46296524064171124
decision_tree,C_selectkbest_top8,8,Air temperature [K];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction,0.9745,0.6440677966101694,0.5588235294117647,0.5984251968503937,0.7739769820971867,0.3749202392821535
knn,E_rf_importance_top8,8,Rotational speed [rpm];power_proxy;Torque [Nm];temp_diff;temp_wear_interaction;wear_torque_interaction;Tool wear [min];wear_speed_interaction,0.978,0.8529411764705882,0.4264705882352941,0.5686274509803921,0.9218045914017782,0.6430884730562254
svm,E_rf_importance_top8,8,Rotational speed [rpm];power_proxy;Torque [Nm];temp_diff;temp_wear_interaction;wear_torque_interaction;Tool wear [min];wear_speed_interaction,0.925,0.30660377358490565,0.9558823529411765,0.4642857142857143,0.9734616672756059,0.6656223702119245
svm,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.925,0.30288461538461536,0.9264705882352942,0.45652173913043476,0.9718898428936792,0.635488947513544
svm,B_engineered,11,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction;Type,0.9225,0.29767441860465116,0.9411764705882353,0.45229681978798586,0.9707100231396907,0.6302979934661656
knn,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.9745,0.84,0.3088235294117647,0.45161290322580644,0.8963509316770186,0.5799660417171265
svm,C_selectkbest_top8,8,Air temperature [K];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction,0.921,0.29545454545454547,0.9558823529411765,0.4513888888888889,0.9683579953720619,0.6152499592164565
naive_bayes,E_rf_importance_top8,8,Rotational speed [rpm];power_proxy;Torque [Nm];temp_diff;temp_wear_interaction;wear_torque_interaction;Tool wear [min];wear_speed_interaction,0.9565,0.39325842696629215,0.5147058823529411,0.445859872611465,0.9215914626720254,0.44476527517436076
naive_bayes,C_selectkbest_top8,8,Air temperature [K];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction,0.954,0.375,0.5294117647058824,0.43902439024390244,0.9242707952746316,0.4777836515233968
knn,C_selectkbest_top8,8,Air temperature [K];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction,0.973,0.75,0.3088235294117647,0.4375,0.906562081354281,0.5095780459418742
svm,A_baseline,6,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Type,0.9175,0.2785388127853881,0.8970588235294118,0.4250871080139373,0.9654655340397028,0.6119367651810571
naive_bayes,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.9565,0.3855421686746988,0.47058823529411764,0.423841059602649,0.9100748995250274,0.4274723480379876
knn,B_engineered,11,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction;Type,0.974,0.8636363636363636,0.27941176470588236,0.4222222222222222,0.8945621726951649,0.5347224497582554
naive_bayes,B_engineered,11,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;wear_speed_interaction;temp_wear_interaction;Type,0.95,0.34,0.5,0.40476190476190477,0.9192927170868348,0.3964023105734223
knn,A_baseline,6,Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Type,0.9725,0.8095238095238095,0.25,0.38202247191011235,0.8555481975398855,0.4768759561516914
logistic_regression,D_rfe_top8,8,Rotational speed [rpm];Torque [Nm];Tool wear [min];temp_diff;power_proxy;wear_torque_interaction;temp_wear_interaction;Type,0.86,0.18263473053892215,0.8970588235294118,0.3034825870646766,0.9384057971014492,0.4360621605726922
